VAR_ID,EXPERIAN_ID,EXPERIAN_CATEGORY,LEVEL_1,LEVEL_2,LEVEL_3,VAR_NAME,EXPERIAN_ATTRIBUTE_NAME,EXPERIAN_DB_Col_NAME,CLASS_DEFN,BINNING_FLG,SPLIT_FLG,SPLIT_FLG_NATIONAL_FILE,ATTRIBUTE_NAME_NATIONAL_FILE
126,GF048,"Financial-Premier Summarized Credit",Financial,"Credit Statistics",Trades,"% currently worst status on a trade (24 months)","%WRST CURR TRD INCL COL RP24",PercentWRST_CURR_TRD_INCL_COL_RP24,numeric,No,No,No,"SCSP:ALL6280A_PCT"
124,GF042,"Financial-Premier Summarized Credit",Financial,"Credit Statistics",Trades,"% currently worst status on a trade (6 months)","% WRST PS=CURR TRD INCCOLRP6",Percent_WRST_PS_eq_CURR_TRD_INCCOLRP6,numeric,No,No,No,"SCSP:ALL6160A_PCT"
125,GF044,"Financial-Premier Summarized Credit",Financial,"Credit Statistics",Trades,"% currently worst status on a trade (ever)","%WE=CURR ON TRD INCL COL",PercentWE_eq_CURR_ON_TRD_INCL_COL,numeric,No,No,No,"SCSP:ALL6200A_PCT"
149,GF110,"Financial-Premier Summarized Credit",Financial,"Credit Statistics",Trades,"% currently worst status on bankcard trade (6 months)","% WORST PS=1/30+ BCC RP6",Percent_WORST_PS_eq_1_30Plus_BCC_RP6,numeric,No,No,No,"SCSP:BCC6160B_PCT"
179,GF218,"Financial-Premier Summarized Credit",Financial,"Credit Statistics",Trades,"% currently worst status on mortgage trade (6 months)","% WORST PS=CURR MTA RP6",Percent_WORST_PS_eq_CURR_MTA_RP6,numeric,No,No,No,"SCSP:MTA6160A_PCT"
158,GF137,"Financial-Premier Summarized Credit",Financial,"Credit Statistics",Trades,"% currently worst status on personal finance trade (ever)","%WE=CURR ON FIP TRD",PercentWE_eq_CURR_ON_FIP_TRD,numeric,No,No,No,"SCSP:FIP6200A_PCT"
35,D0016,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: AARP Members","Memberships: AARP Members",Memberships_AARP_Members,integer,Yes,No,No,"Memberships: AARP Members"
21,D0001,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Amusement Park Visitors","Act/Int: Amusement Park Visit",Act_Int_Amusement_Park_Visit,integer,Yes,No,No,"Act/Int: Amusement Park Visitors"
64,D0047,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Arts and Crafts","Act/Int: Arts and Crafts",Act_Int_Arts_and_Crafts,integer,Yes,No,No,"Act/Int: Arts and Crafts"
40,D0021,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Attend/Order Educational Programs","Act/Int:Attends Education Prog",Act_Int_Attends_Education_Prog,integer,Yes,No,No,"Act/Int: Attend/Order Educational Programs"
72,D0058,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Avid Runners","Act/Int: Avid Runners",Act_Int_Avid_Runners,integer,Yes,No,No,"Act/Int: Avid Runners"
76,D0062,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Boating","Act/Int: Boating",Act_Int_Boating,integer,Yes,No,No,"Act/Int: Boating"
68,D0052,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Book Reader","Act/Int: Book Reader",Act_Int_Book_Reader,integer,Yes,No,No,"Act/Int: Book Reader"
53,D0034,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Canoeing/Kayaking",Act/Int:Canoeing/Kayaking,Act_Int_Canoeing_Kayaking,integer,Yes,No,No,"Act/Int: Canoeing/Kayaking"
84,D0072,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Casino Gambling","Act/Int: Casino Gambling",Act_Int_Casino_Gambling,integer,Yes,No,No,"Act/Int: Casino Gambling"
62,D0045,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Cat Owners","Act/Int: Cat Owners",Act_Int_Cat_Owners,integer,Yes,No,No,"Act/Int: Cat Owners"
96,D0086,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes by Volunteering","Donor: Contrib by Volunteering",Donor_Contrib_by_Volunteering,integer,Yes,No,No,"Donor: Contributes by Volunteering"
91,D0081,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes to Arts/Culture Charities","Donor: Contrib to Arts/Culture",Donor_Contrib_to_Arts_Culture,integer,Yes,No,No,"Donor: Contributes to Arts/Culture Charities"
90,D0080,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes to Charities","Donor: Contrib to Charities",Donor_Contrib_to_Charities,integer,Yes,No,No,"Donor: Contributes to Charities"
92,D0082,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes to Education Charities","Donor: Contrib to Education",Donor_Contrib_to_Education,integer,Yes,No,No,"Donor: Contributes to Education Charities"
93,D0083,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes to Health Charities","Donor: Contrib to Health",Donor_Contrib_to_Health,integer,Yes,No,No,"Donor: Contributes to Health Charities"
94,D0084,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes to Political Charities","Donor: Contrib to Political",Donor_Contrib_to_Political,integer,Yes,No,No,"Donor: Contributes to Political Charities"
95,D0085,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Contributes to Private Foundations","Donor: Contrib to Prvt Found",Donor_Contrib_to_Prvt_Found,integer,Yes,No,No,"Donor: Contributes to Private Foundations"
65,D0049,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Cultural Arts","Act/Int: Cultural Arts",Act_Int_Cultural_Arts,integer,Yes,No,No,"Act/Int: Cultural Arts"
39,D0020,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Digital Magazine/Newspapers Buyers","Act/Int: Digital Mag/Newspaper",Act_Int_Digital_Mag_Newspaper,integer,Yes,No,No,"Act/Int: Digital Magazine/Newspapers Buyers"
24,D0005,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Do-it-yourselfers","Act/Int: Do-it-yourselfers",Act_Int_Do_it_yourselfers,integer,Yes,No,No,"Act/Int: Do-it-yourselfers"
63,D0046,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Dog Owners","Act/Int: Dog Owners",Act_Int_Dog_Owners,integer,Yes,No,No,"Act/Int: Dog Owners"
69,D0053,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: E-Book Reader","Act/Int: E-Book Reader",Act_Int_E_Book_Reader,integer,Yes,No,No,"Act/Int: E-Book Reader"
51,D0032,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Eats at Family Restaurants","Act/Int:Eats Family Restaurant",Act_Int_Eats_Family_Restaurant,integer,Yes,No,No,"Act/Int: Eats at Family Restaurants"
52,D0033,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Eats at Fast Food Restaurants","Act/Int:Eats Fast Food",Act_Int_Eats_Fast_Food,integer,Yes,No,No,"Act/Int: Eats at Fast Food Restaurants"
74,D0060,"Lifestyles/Interests-Lifestyle Propensity Models",Psychographic,"Household Likelihood",Activities/Interests,"Activities/Interests: Fishing","Act/Int: Fishing",Act_Int_Fishing,integer,Yes,No,No,"Act/Int: Fishing"
